relation,nucleus,satellite,question,answer
Cause,"In public self - focus, one shows concern for the impact of one's own actions on others and their impressions.",This type of self - focus predicts greater social anxiety.,Why greater social anxiety is associated with social anxiety?,"In public self - focus, one shows concern for the impact of one's own actions on others and their impressions."
Cause,by pressing a button,and differences in reaction times reveal attentional biases.,Why do differences in reaction times reveal attentional biases?,By pressing a button.
Cause,"One face has an emotional expression and the other has a neutral expression, and when the faces disappear, a probe appears in the location of one of the faces.",This creates a congruent condition in which the probe appears in the same location as the emotional face and an incongruent condition.,Why an incongruent condition occurs?,"One face has an emotional expression and the other has a neutral expression, and when the faces disappear, a probe appears in the location of one of the faces."
Cause,"Individuals who are high in social anxiety tend to show increased initial attention toward negative social cues, such as threatening faces, followed by attention away from these social cues,",indicating a pattern of hypervigilance followed by avoidance.,Why is there a pattern of hypervigilance followed by avoidance?,"Individuals who are high in social anxiety tend to show increased initial attention toward negative social cues, such as threatening faces, followed by attention away from these social cues."
Cause,"Attention bias ##Individuals who tend to experience more social anxiety turn their attention away from threatening social information and toward themselves,",prohibiting themselves from challenging negative expectations about others and maintaining high levels of social anxiety.,Why is social anxiety associated with social anxiety?,Attention bias ##Individuals who tend to experience more social anxiety turn their attention away from threatening social information and toward themselves.
Cause,"The relationship between physiological blushing and self - perceived blushing is small among those high in social anxiety,",indicating that individuals with high social anxiety may overestimate their blushing.,Why high social anxiety may have a tendency to overestimate their blushing?,The relationship between physiological blushing and self - perceived blushing is small among those high in social anxiety.
Cause,"More and more children are being diagnosed with social anxiety,",and this can lead to problems with education if not closely monitored.,Why can social anxiety cause problems with education?,More and more children are being diagnosed with social anxiety.
Cause,"where "" individuals make major life choices to accommodate their illness "".","SAD is sometimes referred to as an "" illness of lost opportunities ""","Why is social anxiety disorder called "" illness of lost opportunities""?",Individuals make major life choices to accommodate their illness.
Cause,"It is common for sufferers of social phobia to self - medicate in this fashion, especially if they are undiagnosed, untreated, or both ;","this can lead to alcoholism, eating disorders or other kinds of substance abuse.","Why can social phobia cause alcoholism, eating disorders and other kinds of substance abuse?","It is common for sufferers of social phobia to self - medicate in this fashion, especially if they are undiagnosed, untreated, or both."
Cause,"also known as social phobia, is an anxiety disorder characterized by a significant amount of fear in one or more social situations",causing considerable distress and impaired ability to function in at least some parts of daily life.,Why is social anxiety disorder called SAD?,"Known as social phobia, is an anxiety disorder characterized by a significant amount of fear in one or more social situations."
Explanation,"is also important for cognitive models of blushing and social anxiety,",indicating that socially anxious individuals use both internal cues and other types of information to draw conclusions about how they are coming across.,Why is social anxiety associated with social anxiety?,Indicating that socially anxious individuals use both internal cues and other types of information to draw conclusions about how they are coming across.
Explanation,"i. e., become anxiety disorders",( see below ).,Why do some adolescents become anxiety disorders?,See below.
Explanation,AdultsIt can be easier to identify social anxiety within adults,because they tend to shy away from any social situation and keep to themselves.,Why can it be easier to identify social anxiety within adults?,They tend to shy away from any social situation and keep to themselves.
Contrast,"some studies finding avoidance of all faces by socially - anxious individuals,",and other studies finding vigilance by socially - anxious individuals only toward threat faces.,How different are some studies finding that the face detection process is different?,"Some studies finding avoidance of all faces by socially - anxious individuals, and other studies finding vigilance by socially - anxious individuals only toward threat faces."
Contrast,"For example, fear of eating in public has a very narrow situational scope ( eating in public ),",while shyness may have a wide scope ( a person may be shy of doing many things in various circumstances ).,How is social anxiety related to eating in public and shyness?,"For example, fear of eating in public has a very narrow situational scope ( eating in public ), while shyness may have a wide scope ( a person may be shy of doing many things in various circumstances."
Contrast,"Adolescents have identified their most common anxieties as focused on relationships with peers to whom they are attracted, peer rejection, public speaking, blushing, self - consciousness, panic, and past behavior.",Most adolescents progress through their fears and meet the developmental demands placed on them.,How do adolescents know their social anxiety disorder is different from other disorders?,"Adolescents have identified their most common anxieties as focused on relationships with peers to whom they are attracted, peer rejection, public speaking, blushing, self - consciousness, panic, and past behavior. Most adolescents progress through their fears and meet the developmental demands placed on them."
Contrast,Child developmentSome feelings of anxiety in social situations are normal and necessary for effective social functioning and developmental growth.,The difficulty with identifying social anxiety disorder in children lies in determining the difference between social anxiety and basic shyness.,How is social anxiety disorder diagnosed in children?,Child developmentSome feelings of anxiety in social situations are normal and necessary for effective social functioning and developmental growth. The difficulty with identifying social anxiety disorder in children lies in determining the difference between social anxiety and basic shyness.
Contrast,"Other related anxiety disorders include social anxiety disorder, generalized anxiety disorder, obsessive compulsive disorder ( OCD ), various types of phobias, and post traumatic stress disorder ( PTSD ).","Fortunately, it is highly treatable and not everyone needs the treatment.",How is social anxiety disorder different from other related anxiety disorders?,"Other related anxiety disorders include social anxiety disorder, generalized anxiety disorder, obsessive compulsive disorder ( OCD ), various types of phobias, and post traumatic stress disorder ( PTSD ). Fortunately, it is highly treatable and not everyone needs the treatment."
Contrast,"Fortunately, it is highly treatable",and not everyone needs the treatment.,How is social anxiety disorder different from other disorders?,"Fortunately, it is highly treatable and not everyone needs the treatment."
Condition,and this can lead to problems with education,if not closely monitored.,Under what condition?,Not closely monitored.
Condition,"It is common for sufferers of social phobia to self - medicate in this fashion,","especially if they are undiagnosed, untreated, or both ;",Under what condition?,"If sufferers of social phobia are undiagnosed, untreated, or both."
Enablement,indicating that socially anxious individuals use both internal cues and other types of information,to draw conclusions about how they are coming across.,For what purpose do socially anxious individuals use internal cues and other types of information?,To draw conclusions about how they are coming across.
Enablement,Standardized rating scales can be used,to screen for social anxiety disorder and measure the severity of anxiety.,For what purpose can standardized rating scales be used?,To screen for social anxiety disorder and measure the severity of anxiety.
Enablement,"where "" individuals make major life choices","to accommodate their illness "".",For what purpose do people make major life choices?,To accommodate their illness.
Enablement,Some sufferers may use alcohol or other drugs,to reduce fears and inhibitions at social events.,For what purpose may sufferers use alcohol or other drugs?,To reduce fears and inhibitions at social events.
Manner-Means,Participants respond to the probe,by pressing a button and differences in reaction times reveal attentional biases.,How do participants respond to the probe?,By pressing a button and differences in reaction times reveal attentional biases.
Manner-Means,Some children with social anxiety may act out,"because of their fear,",How may some children with social anxiety act out?,Because of their fear.
Temporal,"Individuals who are high in social anxiety tend to show increased initial attention toward negative social cues, such as threatening faces,","followed by attention away from these social cues,","After social anxiety, people tend to show more attention towards negative social cues, and then turn their attention towards positive social cues",Attention away from these social cues.
Elaboration,Adolescents have identified their most common anxieties as focused on relationships with peers,"to whom they are attracted, peer rejection, public speaking, blushing, self - consciousness, panic, and past behavior.",What are the most common anxieties of adolescents?,"To whom they are attracted, peer rejection, public speaking, blushing, self - consciousness, panic, and past behavior."
Elaboration,or they may exhibit nervousness or crying in an event,where they feel anxious.,What an event may cause children to act out in an event?,They feel anxious.
Elaboration,"In the United States, anxiety disorders are the most common mental illness.","They affect 40 million adults, ages 18 and older.",What is the most common mental illness?,"They affect 40 million adults, ages 18 and older."
Elaboration,Half of the individuals with any social fears meet the criteria for social anxiety disorder.,"Age, culture, and gender impact the severity of this disorder.",What are the three main factors that affects the severity of social anxiety disorder?,"Age, culture, and gender impact the severity of this disorder."
Elaboration,"however, people who experience problems in their daily functioning for an extended period of time can develop social anxiety disorder.",Social anxiety commonly manifests itself in the teenage years and can be persistent throughout life ;,What is the most common stage of social anxiety disorder?,Cial anxiety commonly manifests itself in the teenage years and can be persistent throughout life.
Elaboration,"however, people",who experience problems in their daily functioning for an extended period of time can develop social anxiety disorder.,What happens to people with social anxiety disorder?,Experience problems in their daily functioning for an extended period of time can develop social anxiety disorder.
