source_sent,question,answer
An economic depression is a period of carried long-term economic downturn that is the result of lowered economic activity in one major or more national economies.,What is the result of lowered economic activity in one major or more national economies?,Long-term economic downturn.
An economic depression is a period of carried long-term economic downturn that is the result of lowered economic activity in one major or more national economies.,What is the result of a long-term economic downturn?,Lowered economic activity.
" Economic depression maybe related to one specific country where there is some economic crisis that has worsened but most often reflexes historically the American Great Depression and similar economic status that may be recognized as existing at some country, several countries or even in many countries.",What was the name of the depression that affected the US economy?,American Great Depression.
" Economic depression maybe related to one specific country where there is some economic crisis that has worsened but most often reflexes historically the American Great Depression and similar economic status that may be recognized as existing at some country, several countries or even in many countries.",What is a period of long-term economic downturn that is the result of lowered economic activity in one major or more national economies?,Economic crisis.
 It is often understood in economics that economic crisis and the following recession that maybe named economic depression are part of economic cycles where the slowdown of the economy follows the economic growth and vice versa.,What is a period of declining economic activity that is the result of lowered economic activity in one major or more national economies?,Recession.
 It is often understood in economics that economic crisis and the following recession that maybe named economic depression are part of economic cycles where the slowdown of the economy follows the economic growth and vice versa.,What is a period of long-term economic downturn that is the result of lowered economic activity in one major or more national economies?,Economic cycles.
" It is a result of more severe economic problems or a downturn than the recession itself, which is a slowdown in economic activity over the course of the normal business cycle of growing economy.",What is a sign of an economic depression?,Severe economic problems.
" It is a result of more severe economic problems or a downturn than the recession itself, which is a slowdown in economic activity over the course of the normal business cycle of growing economy.",What is a recession?,Slowdown in economic activity.
" It is a result of more severe economic problems or a downturn than the recession itself, which is a slowdown in economic activity over the course of the normal business cycle of growing economy.",What is a slowdown in economic activity over the course of a growing economy?,Normal business cycle.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Unemployment rates.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is one of the signs of an economic depression?,Lack of good social balance.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of a recession?,Lesser revenues for businesses.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Economic difficulties.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Signs of financial crisis.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of a financial crisis?,Work of banks.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is one of the signs of an economic depression?,Banking crisis.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is one of the signs of an economic depression?,Crisis in investment.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of a depression?,Credit.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Innovation.
"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,New businesses investments.
