relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Cause,"but does not presuppose thought,",and thus cannot be within the thinking thing.,Why can the passive faculty not be within the thinking thing?,The passive faculty does not presuppose thought.,The passive faculty does not produce ideas.,The passive faculty does not presuppose thought.,The passive faculty does not produce ideas.
Cause,because he thought his argument was sufficient but not compelling.,Hume excluded personal identity from his opus An Inquiry Concerning Human Understanding,Why did Hume exclude personal identity from his opus An Inquiry Concerning Human Understanding?,He thought his argument was sufficient but not compelling.,He thought personal identity was a term to describe the cohesion of inner lives.,He thought personal identity was a term to describe the cohesion of inner lives.,He thought personal identity was a term to describe the cohesion of inner lives.
Cause,"and maybe possessed in different proportions on a continuum,",and thus characterize the personality of philosophers of each camp.,Why did James characterize the personality of each camp?,Maybe possessed in different proportions on a continuum.,"Being easily victimized, easily offended, indecisive, fearful, rigid, inhibited.",Being over - controlled and vulnerable.,Being over - controlled and vulnerable.
Cause,"Studies have identified cultural differences in personality traits such as extraversion, agreeableness, and conscientiousness,","indicating that culture influences personality development ( Allik & McCrae, 2004 ).",Why does Allik & McCrae agree?,"Studies have identified cultural differences in personality traits such as extraversion, agreeableness, and conscientiousness.","The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance. In contrast, Eastern cultures value collectivism, cooperation, and social harmony.",The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.,The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.
Cause,"people interact and behave with others,",which can impact personality development,"Why do cultural norms, beliefs, and practices influence personality development?",People interact and behave with others.,People have unique words to describe emotion or situations.,People have different responses styles across cultures.,People have different senses of self.
Cause,"The five factors continued to be supported both conceptually and statistically across major regions of the world,",suggesting that these underlying factors are common across cultures.,Why are the five underlying constructs found in the American factor structure similar?,The five factors continued to be supported both conceptually and statistically across major regions of the world.,The five factors were administered in 56 nations across 28 languages.,The five factors were found to be universal across cultures.,The five factors were found to be universal across cultures.
Cause,that personality comes entirely from culture,and therefore there can be no meaningful study in cross - culture study.,Why can't there be any meaningful study in cross - culture study?,That personality comes entirely from culture.,That personality traits are not universal across cultures.,That the elements are not shared by all cultures.,That the elements are not universal across cultures.
Cause,"Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Thus, this theory points at the peer group representing the environmental influence on a child's personality rather than the parental style or home environment.",Why does the group socialization theory point at the peer group rather than the parental style or home environment?,"Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics."
Cause,whereas extraverts seemed to experience lower levels of positive affect and suffered from the phenomenon of ego depletion.,"After acting extraverted, introverts'experience of positive affect increased",Why did extraverts experience lower levels of positive affect?,Extraverts seemed to experience lower levels of positive affect and suffered from the phenomenon of ego depletion.,Extraverts were more likely to experience episodes of depression.,Extraverts were more likely to suffer from the phenomenon of ego fatigue.,Extraverts were more likely to experience episodes of depression.
Cause,"but it changes much more quickly during childhood,",so personality constructs in children are referred to as temperament.,Why are personality constructs in children referred to as temperament?,It changes much more quickly during childhood.,It is regarded as the precursor to personality.,It exerts a greater influence on happiness levels.,It is stable over the course of a lifetime.
Cause,""" Each item should be influenced to a degree by the underlying trait construct,",giving rise to a pattern of positive intercorrelations so long as all items are oriented ( worded ) in the same direction.,Why can a pattern of positive intercorrelations be formed so long as all items are oriented in the same direction?,Each item should be influenced to a degree by the underlying trait construct.,The underlying trait construct is not a factor that determines personality.,The underlying trait construct is not a factor that determines personality.,The underlying trait construct is not a factor that determines personality.
Cause,"Due to the fact that personality is a complex idea,",the dimensions of personality and scales of such tests vary and often are poorly defined.,Why do the dimensions of personality and scales of such tests vary?,Due to the fact that personality is a complex idea.,Because there is no consensus definition of personality.,Because most theories view personality as relatively stable.,"Because the study of the psychology of personality, called personality psychology, attempts to explain the tendencies that underlie differences in behavior."
Explanation,"In other words, ideas of non - existent things are without meaning for Spinoza,",because an idea of a non - existent thing cannot exist.,Why were ideas of non existent things without meaning for Rationalist philosopher Benedictus Spinoza?,An idea of a non - existent thing cannot exist.,Ideas are the first element constituting the human mind.,An idea of a non - existent thing cannot exist.,An idea of a non - existent thing cannot exist.
Explanation,The active faculty mustn't be within self,"because ideas are produced without any awareness of them,",Why couldn't the active faculty be within self?,Ideas are produced without any awareness of them.,Ideas are produced and formed by one's will.,Ideas are produced against one's will.,Ideas are produced against one's will.
Explanation,that one immaterial spirit is the basis of the person,""" for fear of making brutes thinking things too.",Why didn't Descartes argue that one immaterial spirit was the basis of the person?,For fear of making brutes thinking things too.,Because he didn't want to make brutes thinking things too.,Because he didn't want to make brutes thinking things too.,Because he didn't want to make brutes thinking things too.
Explanation,that consciousness is personality,"because it "" always accompanies thinking,",Why does Locke believe consciousness is personality?,"It "" always accompanies thinking.",It is that which makes everyone to be what he calls self.,It is that which makes everyone to be what he calls self.,It is that which makes everyone to be what he calls self.
Explanation,which are reflected in personality traits such as agreeableness,"( Cheung et al., 2011 ).","Why do Eastern cultures value collectivism, cooperation, and social harmony in personality traits such as agreeableness?","( Cheung et al., 2011.",The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.,The modern sense of self was linked to a network of social roles.,The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.
Explanation,"people interact and behave with others, which can impact personality development","( Cheung et al., 2011 ).",Why did the five factors influence personality development?,"( Cheung et al., 2011.",They were supported conceptually and statistically.,They were used to describe emotion or situations.,They were used to study the five factors.
Explanation,"Examining personality questionnaires developed within a culture can also be useful evidence for the universality of traits across cultures,",as the same underlying factors can still be found.,Why can testing personality questionnaires within cultures be useful?,The same underlying factors can still be found.,Different cultures have unique words to describe emotion or situations.,Different cultures have different responses styles.,The same traits should be apparent in different cultures.
Explanation,"but they may be a consequence of using a lexical approach to study personality structures,",as language has limitations in translation and different cultures have unique words to describe emotion or situations.,Why are there differences in cultures when using a lexical approach to study personality structures?,Language has limitations in translation and different cultures have unique words to describe emotion or situations.,Different responses styles are different across cultures.,There are differences in the way people respond to each other.,There are differences in the way people respond to each other.
Explanation,"Similar results were found using the Big Five Inventory ( BFI ),",as it was administered in 56 nations across 28 languages.,Why was the Big Five Inventory ( BFI) used?,It was administered in 56 nations across 28 languages.,"It was administered to 7, 134 people across six languages.",It was supported conceptually and statistically across major regions of the world.,"It was administered to 7, 134 people across six languages."
Explanation,Some studies suggest that a shared family environment between siblings has less influence on personality than individual experiences of each child.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Why do some studies believe that a shared family environment has less influence on personality than individual experiences of each child?,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.
Explanation,Identical twins have similar personalities,largely because they share the same genetic makeup rather than their shared environment.,Why do twins have similar personalities?,Because they share the same genetic makeup rather than their shared environment.,Because they are able to accumulate small daily experiences.,Because they have more influence on personality than individual experiences of each child.,Because they are confident in their day - to - day life.
Explanation,"the result is an inability to use any energy to make important or difficult decisions, plan for the future, control or regulate emotions, or perform effectively on other cognitive tasks.","Because all available energy is being used to maintain this contrary behavior,","Why is it difficult for people to make important or difficult decisions, plan for the future, or perform effectively on other cognitive tasks?",All available energy is being used to maintain this contrary behavior.,People have no ability to make important or difficult decisions.,People divert most of their energy toward regulating this foreign style of behavior.,People have no ability to make important or difficult decisions.
Explanation,All of these tests are beneficial,"because they have both reliability and validity, two factors that make a test accurate.",Why are these tests beneficial?,"They have both reliability and validity, two factors that make a test accurate.",They can help diagnose psychiatric disorders.,They can help explain the tendencies that underlie differences in behavior.,They can be used as a clinical measuring tool.
Contrast,"except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from without.","On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.",How does Spinoza believe the mind can be different?,"Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from without. On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.","Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from within. On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.","Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from within. On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.","Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from within. On the contrary, Spinoza argued, perceptions connect various ideas clearly and distinctly."
Contrast,"Rationalist philosopher Benedictus Spinoza ( 1632 - 1677 ) argued that ideas are the first element constituting the human mind,",but existed only for actually existing things.,How did Spinoza view the concept of what makes people different?,But ideas existed only for actually existing things. Rationalist philosopher Benedictus Spinoza ( 1632 - 1677 ) argued that ideas are the first element constituting the human mind.,But ideas existed only for non - existent things. Rationalist philosopher Benedictus Spinoza argued that ideas are the first element constituting the human mind.,But ideas existed only for actual things. Rationalist philosopher Benedictus Spinoza argued that ideas are the first element constituting the human mind.,But ideas existed only for actual things.
Contrast,"whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives,",How did Descartes explain how the passive and active faculties of mind are different?,"The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does presuppose thought, and thus cannot be within the thinking thing."
Contrast,his argument was sufficient,but not compelling.,How did Hume feel about the argument that made the two things different?,His argument was sufficient but not compelling.,He thought it necessary to exclude personal identity from his opus.,He thought it necessary to explain the cohesion of inner lives.,He thought it necessary to explain the difference between the two.
Contrast,but by arguing that such claims are made primarily on the basis of temperament.,"they made in 1907,",How did James distinguish the rationalist philosophers from the empiricists in terms of their differences?,"They made in 1907, but by arguing that such claims are made primarily on the basis of temperament.",They made the same claim on temperament in 1907.,They argued that temperament is the basis of several divisions in academia.,They argued that temperament is the basis of several divisions in academia.
Contrast,"James argued, the temperament of philosophers influenced their philosophy.","Despite seeking only impersonal reasons for their conclusions,",How did James explain why philosophers were different?,"Despite seeking only impersonal reasons for their conclusions, James argued, the temperament of philosophers influenced their philosophy.",The temperament explains a great deal of the controversies in the history of philosophy.,Temperament thus conceived is tantamount to a bias.,An objective measure of success is whether philosophy is peculiar to its philosopher or not.
Contrast,"one dealing with his environment,","the other with his attitudes, values, and feelings. "" Rather than being linked to a network of social roles,",How are the two parts of the modern man different?,"One dealing with his environment, the other with his attitudes, values, and feelings. "" Rather than being linked to a network of social roles.","One dealing with his environment, the other with his attitudes, values, and feelings.","One dealing with his environment, the other with his attitudes, values, and feelings.","One dealing with his environment, the other with his attitudes, values, and feelings."
Contrast,"For example, Western cultures value individualism, independence, and assertiveness, which are reflected in personality traits such as extraversion.","In contrast, Eastern cultures value collectivism, cooperation, and social harmony, which are reflected in personality traits such as agreeableness ( Cheung et al., 2011 ).",How are Western cultures different?,"For example, Western cultures value individualism, independence, and assertiveness, which are reflected in personality traits such as extraversion. In contrast, Eastern cultures value collectivism, cooperation, and social harmony, which are reflected in personality traits such as agreeableness ( Cheung et al., 2011.","Western cultures value collectivism, cooperation, and social harmony, which are reflected in personality traits such as agreeableness. In contrast, Eastern cultures value individualism, independence, and assertiveness, which are reflected in personality traits such as extraversion. In contrast, Eastern cultures value individualism, independence, and assertiveness, which are reflected in personality traits such as agreeableness.","Western cultures value individualism, independence, and assertiveness, which are reflected in personality traits such as extraversion. In contrast, Eastern cultures value collectivism, cooperation, and social harmony, which are reflected in personality traits such as agreeableness.","Western cultures value individualism, independence, and assertiveness, which are reflected in personality traits such as extraversion. In contrast, Eastern cultures value collectivism, cooperation, and social harmony, which are reflected in personality traits such as agreeableness."
Contrast,"provides support for the universality of personality trait structure,",but more research is necessary to gain stronger support.,How does finding factors that are similar across cultures show that they are different?,"Provides support for the universality of personality trait structure, but more research is necessary to gain stronger support.",Does not support the universality of personality trait structure.,Does not support the universality of personality trait structure.,Does not support the universality of personality trait structure.
Contrast,"Differences across cultures could be due to real cultural differences,","but they could also be consequences of poor translations, biased sampling, or differences in response styles across cultures.",How can differences in personality structures be attributed to being different?,"Differences across cultures could be due to real cultural differences, but they could also be consequences of poor translations, biased sampling, or differences in response styles across cultures.","Differences across cultures could be consequences of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations.","Differences across cultures could be consequences of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations.","Differences across cultures could be a consequence of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations."
Contrast,"but they may be a consequence of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations.","There are some differences across culture,",How are there differences in personality structures that may be different?,"There are some differences across culture, but they may be a consequence of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations.","There are some differences across culture, but they may be a consequence of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations.","There are some differences across culture, but they may be a consequence of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations.","There are some differences across culture, but they may be a consequence of using a lexical approach to study personality structures, as language has limitations in translation and different cultures have unique words to describe emotion or situations."
Contrast,which is whether there are common traits among humans,regardless of culture or other factors.,How is the universality of personality traits different?,The universality is whether there are common traits among humans regardless of culture or other factors.,The universality is whether there are common traits among humans regardless of culture or other factors.,The universality is whether there are common traits among humans regardless of culture or other factors.,The universality is whether there are common traits among humans regardless of culture or other factors.
Contrast,"The four temperaments, harm avoidance, reward dependence, novelty - seeking and persistence, are somewhat analogous to ancient conceptions of melancholic, sanguine, choleric, phlegmatic personality types,",although the temperaments reflect dimensions rather than distance categories.,How are the four temperaments similar or different?,"The four temperaments, harm avoidance, reward dependence, novelty - seeking and persistence, are somewhat analogous to ancient conceptions of melancholic, sanguine, choleric, phlegmatic personality types, although the temperaments reflect dimensions rather than distance categories.","The four temperaments, harm avoidance, reward dependence, novelty - seeking and persistence, are somewhat analogous to ancient conceptions of melancholic, sanguine, choleric, phlegmatic personality types, although the temperaments reflect dimensions rather than distance categories.","The four temperaments, harm avoidance, reward dependence, novelty - seeking and persistence, are somewhat analogous to ancient conceptions of melancholic, sanguine, choleric, phlegmatic personality types, although the temperaments reflect dimensions rather than distance categories.","The four temperaments, harm avoidance, reward dependence, novelty - seeking and persistence, are somewhat analogous to ancient conceptions of melancholic, sanguine, choleric, phlegmatic personality types, although the temperaments reflect dimensions rather than distance categories."
Contrast,Lucas and Baird found no statistically significant support for the instrumental theory,"but did, however, find that extraverts generally experience a higher level of positive affect.",How did Lucas and Baird find extraverts and positive affect were different?,"Lucas and Baird found no statistically significant support for the instrumental theory but did, however, find that extraverts generally experience a higher level of positive affect.",Lucas and Baird found that extraverts and positive affect were the same.,Lucas and Baird found that extraverts and positive affect were the same.,Lucas and Baird found that extraverts and positive affect were the same.
Contrast,"Personality is not stable over the course of a lifetime,","but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament.","How does personality change from person to person, and how does it differ?","Personality is not stable over the course of a lifetime, but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament.","Personality changes gradually over the course of a lifetime, but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament.","Personality changes gradually over the course of a lifetime, but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament.","Personality changes gradually over the course of a lifetime, but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament."
Contrast,"Trait - based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior.","On the other hand, more behaviorally - based approaches define personality through learning and habits.",How are different theories defined?,"Trait - based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior. On the other hand, more behaviorally - based approaches define personality through learning and habits.","Trait - based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior. On the other hand, more behaviorally - based approaches define personality through learning and habits. However, most theories view personality as relatively stable.","Trait - based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior. On the other hand, more behaviorally - based approaches define personality through learning and habits. However, most theories view personality as relatively stable.","Trait - based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior. On the other hand, more behaviorally - based approaches define personality through learning and habits."
Contrast,most theories focus on motivation and psychological interactions with one's environment.,"Although there is no consensus definition of personality,",How do most theories of personality differ from those of other?,"Although there most theories is no consensus definition of personality, most theories focus on motivation and psychological interactions with one's environment.",Most theories are based on the principles of psychology.,Most theories are based on the principles of psychology.,Most theories are based on the principles of psychology.
Condition,then different traits should be apparent in different cultures.,"If personality traits are unique to the individual culture,",Under what condition should personality traits be apparent in different cultures?,Personality traits are unique to the individual culture.,Personality traits are universal across cultures.,Personality traits are determined by local customs.,Personality traits are universal across cultures.
Condition,then it can be studied on the basis of human traits rather than within certain cultures.,"If there is a common foundation of personality,",Under what condition can personality traits be studied?,There a common foundation is a common foundation of personality.,There is a common foundation of personality.,There is a common foundation of personality.,There is a common foundation of personality.
Condition,giving rise to a pattern of positive intercorrelations,so long as all items are oriented ( worded ) in the same direction.,Under what condition can positive intercorrelations be formed?,All items are oriented ( worded ) in the same direction.,Each item is influenced to a degree by the underlying trait construct.,Each item is oriented ( worded ) in a different direction.,Each item is influenced to a degree by the underlying trait construct.
Enablement,but more research is necessary,to gain stronger support.,For what purpose more research is needed?,To gain stronger support.,To prove the universality of personality trait structure.,To prove the universality of personality trait structure.,To prove the universality of personality trait structure.
Enablement,but they may be a consequence of using a lexical approach,"to study personality structures,",For what purpose are differences found in a lexical approach?,To study personality structures.,To study the effects of poor translations.,To study the effects of different responses styles.,To study the effects of cultural differences.
Enablement,Research has been done,to uncover some of the mediators that are responsible for the correlation between extraversion and happiness.,For what purpose has research been done?,To uncover some of the mediators are responsible for the correlation between extraversion and happiness.,To prove the relationship between extraversion and happiness.,To prove the correlation between extraversion and happiness.,To prove the correlation between extraversion and happiness.
Enablement,the result is an inability to use any energy,"to make important or difficult decisions, plan for the future, control or regulate emotions, or perform effectively on other cognitive tasks.",For what purpose is it inability to use purpose any energy?,"To make important or difficult decisions, plan for the future, control or regulate emotions, or perform effectively on other cognitive tasks.","To make important or difficult decisions, plan for the future, control or regulate emotions, or perform effectively on other cognitive tasks.","To divert most, if not all, of energy toward regulating this foreign style of behavior and attitudes.","To make important or difficult decisions, plan for the future, control or regulate emotions, or perform effectively on other cognitive tasks."
Enablement,Because all available energy is being used,"to maintain this contrary behavior,",For what purpose is all available energy used?,To maintain this contrary behavior.,To regulate this foreign style of behavior.,To make important or difficult decisions.,To divert all energy towards regulating this foreign style of behavior.
Enablement,that can be used,to measure specific facets as well as general traits.,For what purpose thousands of measures of personality can be used?,To measure specific facets as well as general traits.,To identify children who are more likely to experience episodes of depression.,To measure the effects of one's environment on happiness levels.,To analyze the relationship between happiness and extraversion seen in adults.
Enablement,Psychologists also use it as a clinical measuring tool,to diagnose psychiatric disorders and help with prognosis and therapy planning.,For what purpose does a psychologist use the 16PF as a clinical measuring tool?,To diagnose psychiatric disorders and help with prognosis and therapy planning.,To analyze the effects of one's environment on a person's personality.,To show correlations with each other that suggest higher order meta - traits.,To analyze the effects of a person's genetics rather than the effects of one's environment.
Manner-Means,"except insofar as it perceives the "" ideas of the modifications of body "",","in describing its external perceptions, or perceptions from without.",How does Spinoza believe the mind can describe the ideas of the modifications of body?,"In describing its external perceptions, or perceptions from without.","In describing its internal perceptions, or perceptions from within.","In describing its internal perceptions, or perceptions from within.","In describing its internal perceptions, or perceptions from within."
Manner-Means,that temperament explains a great deal of the controversies in the history of philosophy,by arguing that it is a very influential premise in the arguments of philosophers.,How did William James explain the history of philosophy?,By arguing that it is a very influential premise in the arguments of philosophers.,By arguing that temperament explains a great deal of the controversies in philosophy.,By arguing that temperament explains a great deal of the controversies in philosophy.,By arguing that temperament explains a great deal of the controversies in philosophy.
Manner-Means,Similar results were found,"using the Big Five Inventory ( BFI ),",How were Similar results found?,Using the Big Five Inventory ( BFI.,Using the Five - Factor Model ( NEO - PI - R).,Using the assessment tools measuring similar constructs across countries.,Using the Five - Factor Model ( NEO - PI - R).
Manner-Means,that personality traits are universal across cultures is supported,"by establishing the Five - Factor Model of personality across multiple translations of the NEO - PI - R, which is one of the most widely used personality measures.",How is the idea that personality traits are universal across cultures supported?,"By establishing the Five - Factor Model of personality across multiple translations of the NEO - PI - R, is one of the most widely used personality measures.","By administering the NEO - PI - R to 7, 134 people across six languages.",By using a lexical approach to study personality structures.,By studying emic and etic traits.
Manner-Means,by comparing whether assessment tools are measuring similar constructs across countries or cultures.,This can be measured,How can the universality of personality be measured across cultures?,This can be measured.,There is a common foundation of personality.,There is a common foundation of personality.,There is a common foundation of personality.
Manner-Means,are used,as first proposed by Eysenck in the 1960s.,How are the dimensions used?,As first the dimensions proposed by Eysenck in the 1960s.,As the dimensions of introvert - extrovert and neuroticism.,As the dimensions proposed by Eysenck in the 1960s.,As the dimensions proposed by Eysenck in the 1960s.
Manner-Means,"Personality is frequently broken into factors or dimensions,",statistically extracted from large questionnaires through factor analysis.,How is personality often broken down into factors or dimensions?,Statistically extracted from large questionnaires through factor analysis.,Statistically extracted from large questionnaires through factor analysis.,Statistically extracted from large questionnaires through factor analysis.,Statistically extracted from large questionnaires through factor analysis.
Manner-Means,It measures personality,based on Cattell's 16 - factor theory of personality.,How does the 16PF measure personality?,Based on Cattell's 16 - factor theory of personality.,Based on the dimensions of personality and their correlations with each other.,Based on the dimensions of introvert - extrovert and neuroticism.,Based on the dimensions of psychodynamic and humanistic approaches.
Elaboration,that the expression of a personality trait depends on the volume of the brain cortex,it is associated with.,What does the amount of a personality trait depend on in the brain cortex?,It is associated with.,It is expressed in the frontal lobes.,It is related to hormone secretion.,It is associated with the volume of blood in the brain.
Elaboration,"This stems from neuropsychology,",which studies how the structure of the brain relates to various psychological processes and behaviors.,What does neuropsychology study?,Studies how the structure of the brain relates to various psychological processes and behaviors.,Studies how the structure of the brain relates to various physiological functions.,Studies how the structure of the brain relates to various psychological processes and behaviors.,Studies how the structure of the brain relates to various psychological processes and behaviors.
Elaboration,"Descartes himself distinguished active and passive faculties of mind,",each contributing to thinking and consciousness in different ways.,What did Descartes say about the active and passive faculties of mind?,Each contributing to thinking and consciousness in different ways.,Each contributing to thinking and consciousness in the same way.,Each contributing to thinking and consciousness in the same way.,Each contributing to thinking and consciousness in the same way.
Elaboration,"Such bias, James explained, was a consequence of the trust",philosophers place in their own temperament.,What was the bias that James believed was a consequence of the trust?,Philosophers place in their own temperament.,Philosophers place in their own temperament.,Philosophers place in their own temperament.,Philosophers place in their own temperament.
Elaboration,"One study has shown how the home environment, specifically the types of parents","a person has,",What is the type of parent a person has?,A person has.,A person has a family relationship with a stranger.,A person has a relationship with a stranger.,A person has a relationship with a stranger.
Elaboration,- meaning a situation that has the potential to engender either positive or negative emotions in different individuals.,It has been found to be a stronger force in extroverts.,What has been found about mood maintenance in situations that have the potential to engender either positive or negative emotions in different individuals?,It has been found to be a stronger force in extroverts.,It has been found to be a weaker force in introverts.,It has been found to be a weaker force in introverts.,It has been found to be a weaker force in introverts.
Elaboration,One question,that has been posed is why extraverts tend to be happier than introverts.,What is one question posed?,Has been posed is why extraverts tend to be happier than introverts.,Has been posed is why introverts tend to be happier than introverts.,Has been posed is why introverts tend to be happier than introverts.,Has been posed is why introverts tend to be happier than introverts.
Elaboration,"Personality is not stable over the course of a lifetime, but it changes much more quickly during childhood, so personality constructs in children are referred to as temperament.",Temperament is regarded as the precursor to personality.,What is temperament regarded as?,Temperament is regarded as the precursor to personality.,Temperament is regarded as the precursor to personality.,Temperament is regarded as the precursor to personality.,Temperament is regarded as the precursor to personality.
Elaboration,who are more likely to experience episodes of depression and develop types of treatment,that such children are likely to respond to.,What can we learn from the findings about children who experience episodes of depression and develop types of treatment?,Such children are likely to respond to.,Such children are likely to develop types of treatment.,Such children are likely to develop types of treatment.,Such children are likely to develop types of treatment.
Elaboration,"( e. g., openness splits into experiencing and intellect,",which each further split into facets like fantasy and ideas ).,What is the relationship between openness and intellect?,Which each further split into facets like fantasy and ideas.,Which are both components of the same personality construct.,Which are both components of the same personality construct.,Which are both components of the same personality construct.
Elaboration,"because they have both reliability and validity, two factors",that make a test accurate.,What are two factors?,Make a test accurate.,Make each item influenced to a degree by the underlying trait construct.,Make a test reliable.,Make a test reliable and reliable.
Elaboration,Two main tools,to measure personality are objective tests and projective measures.,What are two main tools to measure personality?,To measure personality are objective tests and projective measures.,To measure personality are psychological tests and motivational tests.,To measure personality are projective measures and biological tests.,To measure personality are objective tests and cognitive tests.
Elaboration,"The various approaches used to study personality today reflect the influence of the first theorists in the field,","a group that includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.",What are the first theorists in the field that study personality?,"A group includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.","A group includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.","A group includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, Abraham Maslow, and Carl Rogers.","A group includes Sigmund Freud, Alfred Adler, Gordon Allport, Hans Eysenck, and Carl Rogers."
